day,hour,station,avgStatN,avgStatS
6,5,0,1.12,1.12
6,5,1,1,1
6,5,2,1.08,1.05
6,5,3,1.02,1.02
6,5,4,1.07,1.07
6,5,5,1.38,1.46
6,5,6,1,1.15
6,5,7,1.03,1.07
6,5,8,1.24,1
6,5,9,1.07,1
6,5,10,1.52,1.56
6,5,11,1.24,1.01
6,5,12,1.09,1
6,5,13,1.16,1
6,5,14,1.08,1.02
6,5,15,1.16,1.21
6,5,16,1.42,1.55
6,5,17,1.01,1.15
6,5,18,1.12,1.15
