day,hour,station,avgStatN,avgStatS
3,18,1,1.16483,1.04396
3,18,2,1.89011,1.3956
3,18,3,2.20879,1.0989
3,18,3,2.20879,1.0989
3,18,4,2.6044,1.83517
3,18,5,2.67033,2.82418
3,18,6,1.57143,2.82418
3,18,7,1.21978,2.75824
3,18,8,1.17582,1.15385
3,18,9,1.30769,1.37363
3,18,10,2.12088,2.30769
3,18,11,1.87912,2.15385
3,18,12,1.63736,2.1978
3,18,13,1.30769,1.13187
3,18,14,1.83517,1.21978
3,18,15,2.06593,1.82418
3,18,16,2.21978,2.91209
3,18,17,1.35165,2.91209
3,18,18,1.25275,2.86813
