day,hour,station,avgStatN,avgStatS
6,20,0,1.12,1.4
6,20,1,1.04,1.28
6,20,2,1.23,1.22
6,20,3,1.38,1.36
6,20,4,1.81,1.51
6,20,5,2.07,2.3
6,20,6,1.4,2.18
6,20,7,1.12,1.57
6,20,8,1.36,1.22
6,20,9,1.12,1.16
6,20,10,1.81,1.94
6,20,11,1.53,1.56
6,20,12,1.48,1.72
6,20,13,1.1,1.125
6,20,14,1.52,1.2
6,20,15,1.72,1.43
6,20,16,2.08,2.45
6,20,17,1.14,2.2
6,20,18,1.16,2.21
