day,hour,station,avgStatN,avgStatS
4,8,0,1.88,1.08
4,8,1,1.93,1
4,8,2,1.94,1.19
4,8,3,1.78,1.19
4,8,4,2.1,1.47
4,8,5,2.2,2.26
4,8,6,1.22,1.97
4,8,7,1.29,1.73
4,8,8,1.44,1.15
4,8,9,1.2,1.19
4,8,10,2.16,1.68
4,8,11,2.22,1.46
4,8,12,1.71,1.31
4,8,13,1.94,1
4,8,14,2.68,1.32
4,8,15,2.76,1.83
4,8,16,2.76,2.4
4,8,17,2.27,2.22
4,8,18,1.92,2.06
