day,hour,station,avgStatN,avgStatS
2,18,0,1.17391,1.17391
2,18,1,1.25,1.04348
2,18,2,1.82609,1.34783
2,18,3,2.36957,1.33696
2,18,4,2.71739,2.34783
2,18,5,2.82609,2.86957
2,18,6,1.92391,2.78261
2,18,7,1.31522,2.69565
2,18,8,1.42391,1.3913
2,18,9,1.34783,1.30435
2,18,10,2.1413,2.3587
2,18,11,1.97826,2.22826
2,18,12,1.70652,2.15217
2,18,13,1.22826,1.34783
2,18,14,1.91304,1.56522
2,18,15,2.15217,2.06522
2,18,16,2.43478,2.90217
2,18,17,1.75,2.90217
2,18,18,1.38043,2.88043
