day,hour,station,avgStatN,avgStatS
6,15,0,1.32,1.2
6,15,1,1.32,1.08
6,15,2,1.59,1.14
6,15,3,1.74,1.4
6,15,4,2.01,1.7
6,15,5,2.16,2.55
6,15,6,1.35,2.43
6,15,7,1.13,2.11
6,15,8,1.42,1.46
6,15,9,1.2,1.11
6,15,10,1.95,2.07
6,15,11,1.88,2.07
6,15,12,1.6,2.02
6,15,13,1.34,1.35
6,15,14,2.28,1.35
6,15,15,2.37,1.81
6,15,16,2.43,2.44
6,15,17,1.21,2.25
6,15,18,1.18,2.2
